source_id,unit,kind,split,truth_output_random,predicted_output_random,match_output_random,truth_rng_sources,predicted_rng_sources,match_rng_sources,truth_targets,predicted_targets,match_targets,truth_external_dependencies,predicted_external_dependencies,match_external_dependencies,truth_cardinality,predicted_cardinality,match_cardinality,truth_target_coupled,predicted_target_coupled,match_target_coupled,definition_nodes,unresolved_random_calls,local_calls
vision_presets,ClassificationPresetTrain,class,debug,True,True,True,delegated,delegated,True,image,image,True,none,none,True,one_to_one,one_to_one,True,False,False,True,2,AutoAugment+AutoAugmentPolicy+RandAugment+RandomErasing+RandomHorizontalFlip+RandomResizedCrop+TrivialAugmentWide,get_module
vision_presets,ClassificationPresetEval,class,debug,False,False,True,none,none,True,image,image,True,none,none,True,one_to_one,one_to_one,True,False,False,True,2,none,get_module
timm_factory,transforms_noaug_train,function,debug,False,False,True,none,none,True,image,image,True,none,none,True,one_to_one,one_to_one,True,False,False,True,1,none,none
timm_factory,transforms_imagenet_train,function,holdout,True,True,True,delegated,delegated,True,image,image+instances,False,none,none,True,one_to_one,one_to_one,True,False,True,False,1,RandomApply+RandomCropOrPad+RandomErasing+RandomGrayscale+RandomHorizontalFlip+RandomResizedCropAndInterpolation+RandomResizedCropToSequence+RandomVerticalFlip+augment_and_mix_transform+auto_augment_transform+rand_augment_transform,none
timm_factory,transforms_imagenet_eval,function,holdout,False,False,True,none,none,True,image,image+instances,False,none,none,True,one_to_one,one_to_one,True,False,True,False,1,none,none
ultralytics_augment,Mosaic,class,holdout,True,True,True,python,python,True,image+instances+labels+semantic,depth+image+instances+labels+semantic,False,dataset,dataset,True,many_to_one,many_to_one,True,True,True,True,3,none,none
ultralytics_augment,MixUp,class,holdout,True,True,True,numpy+python,numpy+python,True,image+instances+labels+semantic,depth+image+instances+labels+semantic,False,dataset,dataset,True,many_to_one,many_to_one,True,True,True,True,3,none,none
ultralytics_augment,CutMix,class,holdout,True,True,True,numpy+python,numpy+python,True,image+instances+labels+semantic,depth+image+instances+labels+semantic,False,dataset,dataset,True,many_to_one,many_to_one,True,True,True,True,3,none,none
ultralytics_augment,CopyPaste,class,holdout,True,True,True,python,python,True,image+instances+labels+semantic,depth+image+instances+labels+semantic,False,dataset,dataset,True,many_to_one,many_to_one,True,True,True,True,3,none,none
ultralytics_augment,RandomPerspective,class,holdout,True,True,True,numpy+python,numpy+python,True,depth+image+instances+keypoints+labels+semantic,depth+image+instances+keypoints+labels+semantic,True,none,none,True,one_to_one,one_to_one,True,True,True,True,2,none,none
ultralytics_augment,RandomHSV,class,holdout,True,True,True,numpy,numpy,True,image,depth+image+instances+labels,False,none,none,True,one_to_one,one_to_one,True,False,True,False,2,none,none
ultralytics_augment,RandomFlip,class,holdout,True,True,True,python,delegated+python,False,depth+image+instances+keypoints+labels+semantic,depth+image+instances+keypoints+labels+semantic,True,none,none,True,one_to_one,one_to_one,True,True,True,True,2,random,none
ultralytics_augment,Albumentations,class,holdout,True,True,True,numpy+python+torch,delegated+numpy+python+torch,False,image+instances+keypoints+labels+semantic,depth+image+instances+labels+semantic,False,none,environment,False,one_to_one,one_to_one,True,True,True,True,3,RandomBrightnessContrast+RandomGamma+random+set_random_seed,Compose
ultralytics_augment,v8_transforms,function,holdout,True,True,True,numpy+python+torch,delegated+numpy+python+torch,False,image+instances+keypoints+labels+semantic,depth+image+instances+keypoints+labels+semantic,False,dataset,dataset+environment,False,many_to_one,many_to_one,True,True,True,True,12,RandomBrightnessContrast+RandomGamma+random+set_random_seed,Albumentations+Compose+CopyPaste+CutMix+MixUp+Mosaic+RandomFlip+RandomHSV+RandomPerspective
detectron2_mapper,DatasetMapper,class,holdout,True,True,True,delegated,delegated,True,image+labels+metadata+semantic,image+instances+keypoints+labels+metadata+semantic,False,filesystem,filesystem,True,one_to_one,one_to_one,True,True,True,True,1,AugmentationList+RandomCrop+augmentations+build_augmentation,none
albumentations_compose,Compose,class,holdout,True,True,True,numpy+python+torch,delegated+numpy+python+torch,False,image+keypoints+semantic,image+instances+keypoints+labels+semantic,False,none,none,True,one_to_one,one_to_one,True,True,True,True,2,Random+random+set_random_seed+set_random_state,none
albumentations_compose,OneOf,class,holdout,True,True,True,numpy+python,delegated+numpy+python+torch,False,image,instances+keypoints+labels+semantic,False,none,none,True,one_to_one,one_to_one,True,False,True,False,2,Random+random+set_random_seed+set_random_state,none
albumentations_compose,SomeOf,class,holdout,True,True,True,numpy+python,delegated+numpy+python+torch,False,image,instances+keypoints+labels+semantic,False,none,none,True,one_to_one,one_to_one,True,False,True,False,2,Random+random+set_random_seed+set_random_state,none
albumentations_compose,ReplayCompose,class,holdout,True,True,True,numpy+python+torch,delegated+numpy+python+torch,False,image+keypoints+semantic,image+instances+keypoints+labels+semantic,False,none,none,True,one_to_one,one_to_one,True,True,True,True,3,Random+random+set_random_seed+set_random_state,none
kornia_augment,AugmentationSequential,class,holdout,True,True,True,torch,delegated+torch,False,image+instances+keypoints+semantic,image+instances+keypoints+semantic,True,none,none,True,one_to_one,one_to_one,True,True,True,True,1,AugmentationSequentialOps,none
