framework,file,category,name,start,end,logical_sloc,decision_points
MONAI,experiments/autocontract_h7_adapters.py,semantic,monai_analyze,224,254,31,1
MMDetection,experiments/autocontract_h7_adapters.py,semantic,MMDET_EXTERNAL_BASES,91,91,1,0
MMDetection,experiments/autocontract_h7_adapters.py,semantic,MMDET_TARGET_TOKENS,92,97,6,0
MMDetection,experiments/autocontract_h7_adapters.py,semantic,mmdet_targets,257,265,9,3
MMDetection,experiments/autocontract_h7_adapters.py,semantic,mmdet_analyze,268,326,56,11
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,TORCHIO_RULES,26,33,8,0
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,parse_bundle,52,60,9,1
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,construction_nodes,63,69,7,0
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,has_external_framework_import,72,81,10,8
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,has_user_callable_boundary,84,89,6,1
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,is_child_container,92,97,6,2
TorchIO,experiments/autocontract_h7c_torchio.py,semantic,infer_torchio,100,171,69,7
TorchGeo,experiments/autocontract_h7d_torchgeo.py,semantic,KORNIA_BASES,24,30,7,0
TorchGeo,experiments/autocontract_h7d_torchgeo.py,semantic,TORCHGEO_RULES,31,37,7,0
TorchGeo,experiments/autocontract_h7d_torchgeo.py,semantic,execution_hooks,52,59,8,0
TorchGeo,experiments/autocontract_h7d_torchgeo.py,semantic,construction_hooks,62,68,7,0
TorchGeo,experiments/autocontract_h7d_torchgeo.py,semantic,infer_torchgeo,71,132,62,8
audiomentations,experiments/autocontract_h7e_audiomentations.py,binding,HOOKS,38,38,1,0
audiomentations,experiments/autocontract_h7e_audiomentations.py,binding,EXTERNAL_AUDIO_TOKENS,39,48,10,0
audiomentations,experiments/autocontract_h7e_audiomentations.py,binding,package_classes,123,132,10,2
audiomentations,experiments/autocontract_h7e_audiomentations.py,binding,target_class,135,139,5,0
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,ADAPTER_RULES,52,60,9,0
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,construction_nodes,142,148,7,0
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,execution_nodes,151,160,10,1
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,assigned_callable_attrs,163,175,13,6
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,invoked_self_attrs,178,187,10,6
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,has_child_delegation,190,207,18,10
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,has_external_audio_operand,210,212,3,0
audiomentations,experiments/autocontract_h7e_audiomentations.py,semantic,analyze_unit,215,298,81,9
audiomentations,experiments/autocontract_h7f_effect_v5.py,semantic,infer_audiomentations_v5,183,229,46,7
imgaug,experiments/autocontract_h7f_imgaug.py,binding,public_binding,114,115,2,0
imgaug,experiments/autocontract_h7f_imgaug.py,binding,package_classes,118,125,8,2
imgaug,experiments/autocontract_h7f_imgaug.py,binding,target_class,128,136,9,2
imgaug,experiments/autocontract_h7f_imgaug.py,binding,class_chain,139,142,4,0
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,EXECUTION_NAMES,56,68,13,0
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,EXTERNAL_PARAM_TOKENS,69,69,1,0
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,CALLABLE_PARAM_TOKENS,70,70,1,0
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,ADAPTER_RULES,74,83,10,0
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,construction_nodes,145,151,7,0
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,execution_nodes,154,161,8,3
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,operator_execution_nodes,164,174,11,4
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,assigned_constructor_attrs,177,205,29,13
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,invoked_self_attrs,208,217,10,4
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,has_child_delegation,220,230,11,6
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,consumes_rng,233,238,6,5
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,imgaug_mode_guard,241,256,16,5
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,super_resolution_imgaug,259,280,22,11
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,classify_direct_state,283,295,13,3
imgaug,experiments/autocontract_h7f_imgaug.py,semantic,analyze,298,403,102,17
imgaug,experiments/autocontract_h7g_effect_v6.py,semantic,callable_bindings_imgaug,114,135,22,1
imgaug,experiments/autocontract_h7g_effect_v6.py,semantic,infer_imgaug_v6,138,170,33,8
Albumentations,experiments/autocontract_h7g_albumentations.py,binding,public_binding,111,112,2,0
Albumentations,experiments/autocontract_h7g_albumentations.py,binding,package_index,115,125,11,2
Albumentations,experiments/autocontract_h7g_albumentations.py,binding,target_class,128,134,7,2
Albumentations,experiments/autocontract_h7g_albumentations.py,binding,class_chain,137,138,2,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,EXECUTION_NAMES,56,72,17,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,RNG_ATTRS,73,73,1,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,ADAPTER_RULES,77,87,11,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,construction_nodes,141,147,7,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,execution_nodes,150,156,7,3
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,inherited_execution_nodes,159,168,10,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,is_compose,171,172,2,0
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,has_child_delegation,175,188,14,8
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,rng_accesses,191,201,11,7
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,has_replay_guard,204,216,13,4
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,callable_annotations,219,226,8,4
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,container_callable_attrs,229,260,32,15
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,direct_callable_bindings,263,296,34,11
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,h7f_invoked_attrs,299,308,10,4
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,super_resolution,311,332,22,11
Albumentations,experiments/autocontract_h7g_albumentations.py,semantic,analyze,335,458,121,22
Albumentations,experiments/autocontract_h7h_effect_v7.py,semantic,albumentations_callable_bindings,280,304,25,4
Albumentations,experiments/autocontract_h7h_effect_v7.py,semantic,albumentations_v7,322,391,70,14
Kornia,experiments/autocontract_h7h_kornia.py,binding,public_binding,70,71,2,0
