pair_id,left,right,origin,legacy_global_label,global_evidence,global_trials,global_reason,keyed_evidence,keyed_trials,keyed_reason,strict_v1_status
tv00_identity_resize,identity,resize,legacy,commutes,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv01_normalize_center_crop,normalize,center_crop,legacy,commutes,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv02_normalize_random_hflip,normalize,random_hflip,legacy,commutes,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv03_normalize_random_vflip,normalize,random_vflip,legacy,commutes,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv04_normalize_random_crop,normalize,random_crop,legacy,commutes,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv05_grayscale3_random_hflip,grayscale3,random_hflip,legacy,commutes,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv06_gaussian_blur_random_hflip,gaussian_blur,random_hflip,legacy,noncommutes,noncommutes_counterexample,1,max_abs_delta=0.92500013,unknown_no_counterexample,24,no_counterexample_found,unknown
tv07_resize_center_crop,resize,center_crop,legacy,noncommutes,noncommutes_counterexample,1,"shape:(3, 23, 25)!=(3, 29, 31)",noncommutes_counterexample,1,"shape:(3, 23, 25)!=(3, 29, 31)",unknown
tv08_random_crop_resize,random_crop,resize,legacy,noncommutes,noncommutes_counterexample,1,"shape:(3, 29, 31)!=(3, 23, 25)",noncommutes_counterexample,1,"shape:(3, 29, 31)!=(3, 23, 25)",unknown
tv09_random_crop_center_crop,random_crop,center_crop,legacy,noncommutes,noncommutes_counterexample,1,max_abs_delta=0.22060001,noncommutes_counterexample,1,max_abs_delta=0.27810001,unknown
tv10_random_hflip_random_vflip,random_hflip,random_vflip,legacy,noncommutes,noncommutes_counterexample,1,max_abs_delta=0.98000002,unknown_no_counterexample,24,no_counterexample_found,unknown
tv11_color_jitter_random_hflip,color_jitter,random_hflip,legacy,noncommutes,noncommutes_counterexample,1,max_abs_delta=0.94210953,unknown_no_counterexample,24,no_counterexample_found,unknown
tv12_color_jitter_normalize,color_jitter,normalize,legacy,noncommutes,noncommutes_counterexample,1,max_abs_delta=1.8,noncommutes_counterexample,1,max_abs_delta=1.6904017,unknown
tv13_random_erasing_normalize,random_erasing,normalize,legacy,noncommutes,noncommutes_counterexample,2,max_abs_delta=1.8,noncommutes_counterexample,1,max_abs_delta=1.8,unknown
tv14_to_uint8_normalize,to_uint8,normalize,legacy,noncommutes,noncommutes_counterexample,1,definedness:exception!=output,noncommutes_counterexample,1,definedness:exception!=output,unknown
tv15_stateful_udf_normalize,stateful_udf,normalize,legacy,noncommutes,noncommutes_counterexample,1,max_abs_delta=1.76,noncommutes_counterexample,1,max_abs_delta=1.76,unknown
tv16_identity_normalize,identity,normalize,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv17_identity_random_crop,identity,random_crop,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv18_normalize_resize,normalize,resize,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv19_grayscale3_center_crop,grayscale3,center_crop,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv20_grayscale3_random_vflip,grayscale3,random_vflip,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv21_center_crop_random_hflip,center_crop,random_hflip,p5k_extension,,noncommutes_counterexample,6,max_abs_delta=0.64576924,noncommutes_counterexample,12,max_abs_delta=0.52321446,unknown
tv22_resize_random_hflip,resize,random_hflip,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv23_center_crop_random_vflip,center_crop,random_vflip,p5k_extension,,noncommutes_counterexample,2,max_abs_delta=0.30362335,noncommutes_counterexample,4,max_abs_delta=0.44541064,unknown
tv24_gaussian_blur_normalize,gaussian_blur,normalize,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
tv25_gaussian_blur_center_crop,gaussian_blur,center_crop,p5k_extension,,noncommutes_counterexample,1,max_abs_delta=0.050166436,noncommutes_counterexample,1,max_abs_delta=0.050166436,unknown
tv26_random_erasing_random_hflip,random_erasing,random_hflip,p5k_extension,,noncommutes_counterexample,1,max_abs_delta=0.98333323,noncommutes_counterexample,1,max_abs_delta=0.99583334,unknown
tv27_to_uint8_resize,to_uint8,resize,p5k_extension,,unknown_no_counterexample,24,no_counterexample_found,unknown_no_counterexample,24,no_counterexample_found,unknown
